URL,Domain,label,URLLength,DomainLength,IsDomainIP,IsHTTPS,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,CharContinuationRate,URLCharProb,TLDLegitimateProb,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef
https://www.nikemissile.org,www.nikemissile.org,1,26,19,0,1,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1.0,0.063290867,0.0799628,544,771,1,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,4,3,5,8,110
http://www.daliborkokic.com,www.daliborkokic.com,0,26,20,0,0,3,1,0,0,0.0,14,0.538,0,0.0,0,0,0,1,0.038,1.0,0.060768542,0.5229071,9,50,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.bozena.eu,www.bozena.eu,1,20,13,0,1,2,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1.0,0.064039862,0.0056158,709,2817,1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,14,13,46,0,47
https://qrcodes.dewampex.nl/,qrcodes.dewampex.nl,0,28,19,0,1,2,1,0,0,0.0,17,0.607,0,0.0,0,0,0,3,0.107,0.5625,0.053327296,0.0082003,11,85,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.ukko.hu,www.ukko.hu,1,18,11,0,1,2,1,0,0,0.0,5,0.278,0,0.0,0,0,0,1,0.056,1.0,0.038008169,0.0022172,2586,517,1,100.0,100.0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,119,21,22,208,2,213
http://www.4w.qywgb.com,www.4w.qywgb.com,0,23,16,0,0,3,2,0,0,0.0,9,0.391,1,0.043,0,0,0,2,0.087,0.875,0.032582176,0.5229071,2,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.irss.de,www.irss.de,0,18,11,0,0,2,1,0,0,0.0,6,0.333,0,0.0,0,0,0,1,0.056,1.0,0.059383654,0.0326503,16,55,1,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.theymightbegiants.com,www.theymightbegiants.com,1,32,25,0,1,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1.0,0.0548941,0.5229071,3442,15824,1,100.0,100.0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,29,2,13,51,0,23
http://23325213.byethost16.com/,23325213.byethost16.com,0,31,23,0,0,3,1,0,0,0.0,11,0.355,10,0.323,0,0,0,3,0.097,0.894736842,0.031930479,0.5229071,2,834,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
https://www.sportspressnw.com,www.sportspressnw.com,1,28,21,0,1,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1.0,0.059149427,0.5229071,867,9381,1,100.0,100.0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,22,6,7,73,3,80
